category,doc_id,member_name,message,row
invalid_date,20023082,Hon. Richard W. Allen,Invalid or missing transaction date: [ST],"{'Member': 'Allen', 'Prefix': 'Hon.', 'FirstName': 'Richard W.', 'LastName': 'Allen', 'DocID': '20023082', 'Owner': 'SouthState', 'Asset': 'Corporation', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': '[ST]', 'Notification Date': 'S', 'Amount': '(partial)', 'Filing Status': 'New', 'Description': 'Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities'}"
invalid_date,20023082,Hon. Richard W. Allen,Invalid or missing transaction date: [ST],"{'Member': 'Allen', 'Prefix': 'Hon.', 'FirstName': 'Richard W.', 'LastName': 'Allen', 'DocID': '20023082', 'Owner': 'SouthState', 'Asset': 'Corporation', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': '[ST]', 'Notification Date': 'S', 'Amount': '(partial)', 'Filing Status': 'New', 'Description': 'Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities'}"
invalid_date,20023082,Hon. Richard W. Allen,Invalid or missing transaction date: [ST],"{'Member': 'Allen', 'Prefix': 'Hon.', 'FirstName': 'Richard W.', 'LastName': 'Allen', 'DocID': '20023082', 'Owner': 'SouthState', 'Asset': 'Corporation', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': '[ST]', 'Notification Date': 'S', 'Amount': '(partial)', 'Filing Status': 'New', 'Description': 'Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities'}"
invalid_date,20023082,Hon. Richard W. Allen,Invalid or missing transaction date: [ST],"{'Member': 'Allen', 'Prefix': 'Hon.', 'FirstName': 'Richard W.', 'LastName': 'Allen', 'DocID': '20023082', 'Owner': 'SouthState', 'Asset': 'Corporation', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': '[ST]', 'Notification Date': 'S', 'Amount': '(partial)', 'Filing Status': 'New', 'Description': 'Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities'}"
invalid_date,20023082,Hon. Richard W. Allen,Invalid or missing transaction date: Thermo,"{'Member': 'Allen', 'Prefix': 'Hon.', 'FirstName': 'Richard W.', 'LastName': 'Allen', 'DocID': '20023082', 'Owner': '2000078994', 'Asset': '', 'Ticker': 'TMO', 'Transaction Type': 'S', 'Transaction Date': 'Thermo', 'Notification Date': 'Fisher', 'Amount': 'Scientific', 'Filing Status': 'New', 'Description': 'Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities'}"
invalid_date,20023082,Hon. Richard W. Allen,Invalid or missing transaction date: South,"{'Member': 'Allen', 'Prefix': 'Hon.', 'FirstName': 'Richard W.', 'LastName': 'Allen', 'DocID': '20023082', 'Owner': '2000068092', 'Asset': '', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': 'South', 'Notification Date': 'State', 'Amount': 'Corporation', 'Filing Status': 'New', 'Description': 'Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities'}"
invalid_date,20023082,Hon. Richard W. Allen,Invalid or missing transaction date: South,"{'Member': 'Allen', 'Prefix': 'Hon.', 'FirstName': 'Richard W.', 'LastName': 'Allen', 'DocID': '20023082', 'Owner': '2000076734', 'Asset': '', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': 'South', 'Notification Date': 'State', 'Amount': 'Corporation', 'Filing Status': 'New', 'Description': 'Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities'}"
invalid_date,20023082,Hon. Richard W. Allen,Invalid or missing transaction date: South,"{'Member': 'Allen', 'Prefix': 'Hon.', 'FirstName': 'Richard W.', 'LastName': 'Allen', 'DocID': '20023082', 'Owner': '2000076731', 'Asset': '', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': 'South', 'Notification Date': 'State', 'Amount': 'Corporation', 'Filing Status': 'New', 'Description': 'Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities'}"
invalid_date,20023082,Hon. Richard W. Allen,Invalid or missing transaction date: South,"{'Member': 'Allen', 'Prefix': 'Hon.', 'FirstName': 'Richard W.', 'LastName': 'Allen', 'DocID': '20023082', 'Owner': '2000079933', 'Asset': '', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': 'South', 'Notification Date': 'State', 'Amount': 'Corporation', 'Filing Status': 'New', 'Description': 'Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities'}"
invalid_date,20023082,Hon. Richard W. Allen,Invalid or missing transaction date: S,"{'Member': 'Allen', 'Prefix': 'Hon.', 'FirstName': 'Richard W.', 'LastName': 'Allen', 'DocID': '20023082', 'Owner': 'SP', 'Asset': 'BB&T Corporation', 'Ticker': 'BBT', 'Transaction Type': 'S', 'Transaction Date': 'S', 'Notification Date': '(partial)', 'Amount': '04/27/2018', 'Filing Status': 'New', 'Description': 'Subholding of: LIVTR'}"
