Member,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Ashford,20003994,SP,3M Company ,MMM,S,10/13/2015,10/13/2015,"$15,001 - $50,000",New,
Ashford,20003994,SP,Apache Corporation ,APA,S,10/13/2015,10/13/2015,"$15,001 - $50,000",New,"Hon. Brad Ashford , 10/27/2015"
Ashford,20003185,SP,Union Pacific Corporation ,UNP,S,05/5/2015,05/5/2015,"$15,001 - $50,000",New,"Hon. Brad Ashford , 05/29/2015"
Ashford,20002964,JT,Apache Corporation ,APA,S,04/14/2015,04/14/2015,"$1,001 - $15,000",New,"Hon. Brad Ashford , 04/30/2015"
Ashford,20002963,SP,"Lennox International, Inc. ",NaN,S,04/13/2015,04/13/2015,"$15,001 - $50,000",New,"Hon. Brad Ashford , 04/30/2015"
Ashford,20002949,SP,Apache Corporation ,APA,S,04/12/2015,04/12/2015,"$15,001 - $50,000",New,"Hon. Brad Ashford , 04/30/2015"
Ashford,20002776,SP,Union Pacific Corporation ,UNP,S,03/12/2015,03/12/2015,"$15,001 - $50,000",New,"Brad Ashford , 03/24/2015"
Ashford,20002776,DC,Berkshire hathaway Inc. New,BRK.B,P,02/27/2015,02/27/2015,"$25,000,001",New,250 BRK B shares at $148 per share.
Barletta,20002827,JT,"Kinder Morgan, Inc. ",KMI,S,10/29/2015,10/29/2015,"$1,001 - $15,000",New,The rationale for this transaction was to take tax losses
Barletta,20002827,JT,"Kinder Morgan, Inc. ",KMI,S,10/29/2015,10/29/2015,"$1,001 - $15,000",New,"Hon. Lou Barletta , 11/6/2015"
Brooks,20002327,JT,Madison alabama RFDg Wts,NaN,s,12/2/2014,12/2/2014,"$15,001 - $50,000",New,"Hon. Mo Brooks , 01/7/2015"
Brooks,20004046,JT,North Carolina Cap Facs Fin agy Duke,NaN,P,11/2/2015,11/2/2015,"$1,001 - $15,000",New,"Hon. Mo Brooks , 11/4/2015"
Brooks,20004046,JT,Huntsville al genl Oblig Warrants,NaN,P,10/19/2015,10/19/2015,"$1,001 - $15,000",New,
Brooks,20003908,JT,southern Company ,NaN,P,10/1/2015,10/1/2015,"$1,001 - $15,000",New,"Hon. Mo Brooks , 10/7/2015"
Brooks,20002969,SP,"alexar Therapeutics, Inc.",NaN,P,04/15/2015,04/15/2015,"$1,001 - $15,000",New,"Hon. Susan W. Brooks , 05/11/2015"
Brooks,20002831,JT,Decatur ala swr Rev Wts,NaN,P,03/31/2015,03/31/2015,"$1,001 - $15,000",New,"Hon. Mo Brooks , 04/4/2015"
Brooks,20002713,JT,Baldwin County al genl Oblig Wts,NaN,P,03/10/2015,03/10/2015,"$1,001 - $15,000",New,"Hon. Mo Brooks , 03/13/2015"
Brooks,20002327,JT,Digirad Corporation ,NaN,s,01/5/2015,01/5/2015,"$1,001 - $15,000",New,
