Member,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Barletta,20006832,JT,Vanguard Intermediate,NaN,s,03/1/2017,03/1/2017,"$1,001 - $15,000",New,"Hon. Lou Barletta , 03/1/2017"
Blum,20007916,JT,"Tintri, Inc. ",NaN,P,08/4/2017,08/7/2017,"$50,001 - $100,000",New,"Hon. Rodney Leland Blum , 08/31/2017"
Brooks,20008596,JT,Tenn Valley auth,NaN,s,11/27/2017,11/27/2017,"$15,001 - $50,000",New,"Hon. Mo Brooks , 12/21/2017"
Brooks,20008596,JT,"alpha Pro Tech, ltd. ",NaN,P,11/20/2017,11/20/2017,"$1,001 - $15,000",New,
Brooks,20008301,JT,"alpha Pro Tech, ltd. ",NaN,P,10/13/2017,10/13/2017,"$1,001 - $15,000",New,"Hon. Mo Brooks , 10/30/2017"
Brooks,20008301,JT,"alpha Pro Tech, ltd. ",NaN,P,08/24/2017,08/27/2017,"$1,001 - $15,000",New,
Brooks,20007835,JT,"alpha Pro Tech, ltd. ",NaN,P,07/20/2017,07/20/2017,"$1,001 - $15,000",New,"Hon. Mo Brooks , 08/17/2017"
Brooks,20007636,JT,"alpha Pro Tech, ltd. ",NaN,P,06/29/2017,06/29/2017,"$1,001 - $15,000",New,"Hon. Mo Brooks , 07/16/2017"
Brooks,20007640,SP,"onspira Therapeutics, Inc.",NaN,P,06/15/2017,06/15/2017,"$15,001 - $50,000",New,"Hon. Susan W. Brooks , 07/17/2017"
Brooks,20007410,JT,"alpha Pro Tech, ltd. ",NaN,P,06/1/2017,06/1/2017,"$1,001 - $15,000",New,"Hon. Mo Brooks , 06/5/2017"
Brooks,20007279,JT,"alpha Pro Tech, ltd. ",NaN,P,05/12/2017,05/12/2017,"$1,001 - $15,000",New,
Brooks,20007279,JT,Twenty,NaN,s,05/12/2017,05/12/2017,"$1,001 - $15,000",New,"Hon. Mo Brooks , 05/13/2017"
Brooks,20007073,SP,"Velicept Therapeutics, Inc.",NaN,P,04/8/2017,04/4/2017,"$1,001 - $15,000",New,"Hon. Susan W. Brooks , 05/3/2017"
Brooks,20006992,JT,"Becton, Dickinson and Company ",BDX,s,03/21/2017,03/21/2017,"$1,001 - $15,000",New,
Brooks,20006992,JT,Exxon Mobil Corporation ,NaN,s,03/21/2017,03/21/2017,"$1,001 - $15,000",New,
Brooks,20006992,JT,Procter & gamble Company ,NaN,s,03/21/2017,03/21/2017,"$1,001 - $15,000",New,
Brooks,20006992,JT,union Pacific Corporation ,NaN,s,03/21/2017,03/21/2017,"$1,001 - $15,000",New,
Brooks,20006992,JT,Wells Fargo & Company ,WFC,s,03/21/2017,03/21/2017,"$1,001 - $15,000",New,"Hon. Mo Brooks , 04/3/2017"
Brooks,20006992,JT,oracle Corporation ,NaN,s,03/15/2017,03/15/2017,"$1,001 - $15,000",New,
Brooks,20006768,JT,Forney TX indpt sch Dist Ref OY 6.40,NaN,P,02/9/2017,02/9/2017,"$1,001 - $15,000",New,
Brooks,20006768,JT,Tucows Inc. ,NaN,s,02/15/2017,02/15/2017,"$15,001 - $50,000",New,"Hon. Mo Brooks , 02/16/2017"
Brooks,20006641,JT,"lee Enterprises, Incorporated ",NaN,P,01/27/2017,01/27/2017,"$1,001 - $15,000",New,
Brooks,20006641,JT,Verizon Communications Inc. ,VZ,s,01/27/2017,01/27/2017,"$1,001 - $15,000",New,"Hon. Mo Brooks , 01/31/2017"
Castor,20007742,JT,Walt Disney Company ,NaN,s,08/4/2017,08/4/2017,"$1,001 - $15,000",New,"Hon. Kathy Castor , 08/4/2017"
Castor,20006946,JT,apple Inc. ,NaN,s,03/15/2017,03/15/2017,"$1,001 - $15,000",New,"Hon. Kathy Castor , 03/20/2017"
Castor,20006751,JT,Boeing Company ,NaN,s,02/14/2017,02/14/2017,"$15,001 - $50,000",New,
Castor,20006751,JT,Intel Corporation ,INTC,P,02/14/2017,02/14/2017,"$1,001 - $15,000",New,
Castor,20006751,JT,Intel Corporation ,INTC,s,02/14/2017,02/14/2017,"$1,001 - $15,000",New,
Castor,20006751,JT,"Merck & Company, Inc. Common stock",MRK,s,02/14/2017,02/14/2017,"$1,001 - $15,000",New,
Castor,20006751,JT,"Pfizer, Inc. ",PFE,s,02/14/2017,02/14/2017,"$1,001 - $15,000",New,"Hon. Kathy Castor , 02/15/2017"
Chu,20008543,SPDR,gLD NoV 17 122.5 PUT,NaN,S,11/2/2017,11/2/2017,"$1,001 - $15,000",New,PUT
Chu,20008543,SPDR,gLD NoV 3 123 PUT,NaN,P,11/2/2017,11/2/2017,"$1,001 - $15,000",New,"Hon. Judy Chu , 12/17/2017"
Chu,20007444,SPDR,goLD SHS gLD MaY 12 117.5,NaN,P,05/9/2017,05/9/2017,"$1,001 - $15,000",New,PUT
Chu,20007444,SPDR,goLD SHS gLD MaY 26 117 PUT,NaN,S,05/9/2017,05/9/2017,"$1,001 - $15,000",New,"Hon. Judy Chu , 06/16/2017"
Chu,20007035,SPDR,goLD SHS MaR 10 117 PUT,NaN,P,03/3/2017,03/3/2017,"$1,001 - $15,000",New,PUT
Chu,20007035,SPDR,goLD TR SHS MaR 24 118 CaLL,NaN,P,03/21/2017,03/21/2017,"$1,001 - $15,000",New,"Hon. Judy Chu , 04/14/2017"
Clark,20008419,SP,Amgen Inc. ,NaN,S,10/5/2017,11/17/2017,"$1,001 - $15,000",New,
Clark,20008419,SP,Amgen Inc. ,NaN,S,10/5/2017,11/17/2017,"$1,001 - $15,000",New,
Clark,20008419,SP,Southern Copper Corporation ,NaN,P,10/5/2017,11/17/2017,"$1,001 - $15,000",New,
Clark,20008419,SP,Southern Copper Corporation ,NaN,P,10/5/2017,11/17/2017,"$1,001 - $15,000",New,"Hon. Katherine M. Clark , 11/18/2017"
Clark,20007336,SP,Amgen Inc. ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,
Clark,20007336,SP,Amgen Inc. ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,
Clark,20007336,SP,Apple Inc. ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,
Clark,20007336,SP,Apple Inc. ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,
Clark,20007336,SP,"blackRock, Inc. ",NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,
Clark,20007336,SP,"blackRock, Inc. ",NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,
Clark,20007336,SP,Check Point Software Technologies ltd.,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,
Clark,20007336,SP,Check Point Software Technologies ltd.,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,
Clark,20007336,SP,China Mobile limited ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,
Clark,20007336,SP,China Mobile limited ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,
Clark,20007336,SP,Coca,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,
Clark,20007336,SP,Coca,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,
