Member,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Amash,20010646,DC,"Amazon.com, Inc.",AMZN,11/01/2018,11/01/2018,"$15,001",-,New,Subholding of: Charles Schwab Investment Account - DC1
Amash,20010646,DC,"Amazon.com, Inc.",AMZN,11/01/2018,11/01/2018,"$15,001",-,New,Subholding of: Charles Schwab Investment Account - DC2
Amash,20010646,DC,"Amazon.com, Inc.",AMZN,11/01/2018,11/01/2018,"$15,001",-,New,Subholding of: Charles Schwab Investment Account - DC3
Amash,20010021,DC,Walt Disney Company,DIS,08/01/2018,08/01/2018,"$15,001",-,New,Subholding of: Charles Schwab Investment Account - DC3
Amash,20010021,DC,Walt Disney Company,DIS,08/01/2018,08/01/2018,"$15,001",-,New,Subholding of: Charles Schwab Investment Account - DC1
Amash,20010021,DC,Walt Disney Company,DIS,08/01/2018,08/01/2018,"$15,001",-,New,Subholding of: Charles Schwab Investment Account - DC2
Amash,20010646,DC,"Sonos, Inc.   P",SoNo,11/01/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Charles Schwab Investment Account - DC1
Amash,20010021,DC,Apple Inc.   P,AAPL,08/01/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Charles Schwab Investment Account - DC2
Amash,20010021,DC,Nintendo Co Ltd ADR  P,NTDoY,08/01/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Charles Schwab Investment Account - DC3
Blum,20010478,JT,Enbridge Inc,ENB,09/18/2018,09/18/2018,"$100,001",-,New,
Blum,20010478,JT,Ford Motor Company,F,09/18/2018,09/18/2018,"$50,001",-,New,
Blum,20008963,JT,"Tintri, Inc.",TNTR,02/2/2018,02/2/2018,"$50,001",-,New,Subholding of: RodandKarenBlumIRA
Blumenauer,20009879,SP,Caterpillar Inc 3.9%21 Due,CAT,06/26/2018,07/12/2018,"$15,001",-,New,Purchase of Caterpillar
Blumenauer,20009879,SP,Dun & Bradstreet Corporation S,DNB,07/12/2018,"$1,001",-,"$1,001 - $15,000",New,
Blumenauer,20009879,SP,general Electric Company  S,GE,07/12/2018,"$1,001",-,"$1,001 - $15,000",New,
Blumenauer,20009879,SP,Molson Coors Brewing Company P,TAP,07/12/2018,"$1,001",-,"$1,001 - $15,000",New,
Blumenauer,20009879,SP,Time Warner Inc. New   E,TWX,06/26/2018,"$1,001",-,"$1,001 - $15,000",New,Cash/Stock Merger with AT & T Inc. effective 6/15/2018 to reflect purchase of Time Warner by AT & T Inc.
Brooks,20010805,JT,Berkshire Hathaway Inc. New,lEE,10/30/2018,10/30/2018,"$15,001",-,New,
Brooks,20010541,JT,Berkshire Hathaway Inc. New,BRK.B,10/24/2018,10/24/2018,"$15,001",-,New,
Brooks,20010541,JT,Duke Energy Corporation,lEE,10/02/2018,10/02/2018,"$15,001",-,New,
Brooks,20010366,JT,Duke Energy Corporation,lEE,09/24/2018,09/24/2018,"$15,001",-,New,
Brooks,20009848,JT,"lee Enterprises, Incorporated",lEE,06/26/2018,06/26/2018,"$15,001",-,New,
Brooks,20009743,JT,Berkshire Hathaway Inc. New,BRK.B,05/25/2018,05/25/2018,"$15,001",-,New,
Brooks,20009475,SP,"MYoTa, INC.",PS,04/12/2018,04/20/2018,"$15,001",-,New,INVESTMENT
Brooks,20009433,JT,Duke Energy Corporation,DUK,04/16/2018,04/16/2018,"$15,001",-,New,
Brooks,20009061,JT,Decatur ala City Brd Ed spl Tax sch,,02/12/2018,02/12/2018,"$15,001",-,New,
Brooks,20009061,JT,Duke Energy Corporation,DUK,02/12/2018,02/12/2018,"$15,001",-,New,
Brooks,20008873,JT,Etowah Cnty ala Brd Ed Cap Outlay,,01/23/2018,01/23/2018,"$1,001",-,New,
Brooks,20008873,JT,Mobile Cnty ala Brd sch Commrs,,01/23/2018,01/23/2018,"$1,001",-,New,
Brooks,20008873,JT,Phenix City al sch Wts genl Oblig,,01/23/2018,01/23/2018,"$15,001",-,New,
Brooks,20008849,SP,VELICEPT,,01/9/2018,01/12/2018,"$1,001",-,New,INVESTMENT PURCHaSE
Brooks,20009918,SP,"Velicept Therapeutics, Inc.  P",PS,07/12/2018,"$1,001",-,"$1,001 - $15,000",New,INVESTMENT PURCHaSE
Brooks,20010366,JT,"alpha Pro Tech, ltd.   s",aPT,09/24/2018,"$1,001",-,"$1,001 - $15,000",New,
Brooks,20009743,JT,"alpha Pro Tech, ltd.   s",aPT,05/25/2018,"$1,001",-,"$1,001 - $15,000",New,
Brooks,20009743,JT,"lee Enterprises, Incorporated P",lEE,06/14/2018,"$1,001",-,"$1,001 - $15,000",New,
Brooks,20009743,JT,North Carolina CaP FaCs FIN agy P,,05/08/2018,"$1,001",-,"$1,001 - $15,000",New,
Clark,20008967,SP,Abb ltd,Abb,01/3/2018,02/8/2018,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,20008967,SP,Abb ltd,Abb,01/3/2018,02/8/2018,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,20008967,SP,Clorox Company,CLX,01/3/2018,02/8/2018,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,20008967,SP,Emerson Electric Company,EMR,01/3/2018,02/8/2018,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,20008967,SP,Emerson Electric Company,EMR,01/3/2018,02/8/2018,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,20008967,SP,glaxoSmithKline PlC,gSK,01/3/2018,02/8/2018,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,20008967,SP,glaxoSmithKline PlC,gSK,01/3/2018,02/8/2018,"$1,001",-,New,Subholding of: Ameriprise SEP IRAiD owner asset transaction Date notification amount
Clark,20008967,SP,"Hasbro, Inc.",HAS,01/3/2018,02/8/2018,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,20008967,SP,"Hasbro, Inc.",HAS,01/3/2018,02/8/2018,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,20008967,SP,Pioneer Natural Resources Company,PXd,01/3/2018,02/8/2018,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,20008967,SP,Pioneer Natural Resources Company,PXd,01/3/2018,02/8/2018,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,20008967,SP,Sony Corporation,SNE,01/3/2018,02/8/2018,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,20008967,SP,Southern Copper Corporation,SCCO,01/3/2018,02/8/2018,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,20008967,SP,"Waste Management, Inc.",WM,01/3/2018,02/8/2018,"$1,001",-,New,Subholding of: Ameriprise SEP IRA
Clark,20008967,SP,"Waste Management, Inc.",WM,01/3/2018,02/8/2018,"$1,001",-,New,Subholding of: Ameriprise Traditional IRA
Clark,20010697,SP,AMC Networks Inc.,AMCX,01/18/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20010697,SP,AMC Networks Inc.,AMCX,11/18/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20010697,SP,Apple Inc.   S,AAPL,11/18/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20010697,SP,Apple Inc.   S,AAPL,11/18/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20010697,SP,Check Point Software Technologies S,,11/18/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20010697,SP,Check Point Software Technologies S,,11/18/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20010697,SP,Clorox Company   S,CLX,11/18/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20010697,SP,Clorox Company   S,CLX,11/18/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20010697,SP,"HSbC Holdings, plc.   P",HSbC,11/18/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20010697,SP,"HSbC Holdings, plc.   P",HSbC,11/18/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20010697,SP,Intel Corporation   P,INTC,11/18/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20010697,SP,Intel Corporation   P,INTC,11/18/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20010697,SP,Sealed Air Corporation   S,SEE,11/18/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20010697,SP,Sealed Air Corporation   S,SEE,11/18/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20010697,SP,Starbucks Corporation  P,SBUX,11/18/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20010697,SP,Starbucks Corporation  P,SBUX,11/18/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20010411,SP,Anadarko Petroleum Corporation P,APC,10/03/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20010411,SP,Anadarko Petroleum Corporation P,APC,10/03/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20010411,SP,Chubb limited   S,CB,10/03/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20010411,SP,Chubb limited   S,CB,10/03/2018,"$1,001",-,"$1,001 - $15,000",New,Redeemed Full Call Payout 4.6% 12/15/22
Clark,20009485,SP,China Mobile limited   S,CHl,05/08/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20009485,SP,China Mobile limited   S,CHl,05/08/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20009482,SP,"Dominion Energy, Inc.   S",D,04/25/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20009482,SP,general Electric Company  S,GE,04/25/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20009482,SP,Starbucks Corporation  S,SBUX,04/25/2018,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
