Member,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Allen,20026537,SP,"Rollins, Inc.",ROL,P,12/12/2024,01/08/2025,"$15,001 - $50,000",New,"Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities"
Allen,20026537,SP,US TREASU NOTE 4.375%,NaN,P,12/03/2024,01/08/2025,"$100,001 - $250,000",New,Subholding of: SCH1
Beyer,20026517,JT,Duke Energy,DUK,S,12/23/2024,12/26/2024,"$5,000,001 - $25,000,000",New,"sale of 2712 Duke Street, Alexandria, Virginia"
Beyer,20026517,JT,Oklahoma Cnty OK Indep 3.00%,NaN,P,12/04/2024,01/06/2025,"$1,001 - $15,000",New,"15,000 units Oklahoma County, OK, Indep 3.00% 07/01/25"
Beyer,20026517,JT,Oklahoma Cnty OK Indep 3.00%,NaN,P,12/04/2024,01/06/2025,"$1,001 - $15,000",New,"5,000 units Oklahoma County, OK, Indep 3.00% 07/01/25"
Beyer,20026517,JT,Dallas Tex Area Rapid 5.00%,NaN,E,12/02/2024,01/06/2025,"$1,001 - $15,000",New,Called Security
Green,20026538,JT,NGL ENERGY PARTNERS,NaN,S,01/02/2025,01/08/2025,"$15,001 - $50,000",New,Subholding of: Equitable Advisors Investment Account
Hern,20026597,JT,AGCO Corporation Common,NaN,S,12/31/2024,01/02/2025,"$50,001 - $100,000",New,sell to close
Hern,20026597,JT,Devon Energy,DVN,S (partial),12/31/2024,01/02/2025,"$250,001 - $500,000",New,Rebalance position toward original allocation
Hern,20026597,JT,"DexCom, Inc.",DXCM,S,12/31/2024,01/02/2025,"$50,001 - $100,000",New,sell to close
Hern,20026597,JT,"Estee Lauder Companies, Inc. ",EL,S,12/31/2024,01/02/2025,"$15,001 - $50,000",New,sell to closeID Owner Asset Transaction Date Notification Amount Cap.
Hern,20026597,JT,Intel,INTC,S,12/31/2024,01/02/2025,"$50,001 - $100,000",New,sell to close
Hern,20026597,JT,Johnson & Johnson,JNJ,S,12/31/2024,01/02/2025,"$100,001 - $250,000",New,sell to close
Hern,20026597,JT,Home Depot (The),HD,P,12/12/2024,12/13/2024,"$1,001 - $15,000",New,Dividend Reinvestment
Hern,20026597,JT,Exxon Mobil Corporation Common ,XOM,P,12/10/2024,12/11/2024,"$1,001 - $15,000",New,Dividend Reinvestment
Hern,20026597,JT,Citigroup,C,S,12/03/2024,12/04/2024,"$500,001 - $1,000,000",New,Note Called by the issuer. position closed
Jackson,20026545,JT,General Dynamics,GD,S,12/16/2024,01/09/2025,"$15,001 - $50,000",New,Subholding of: Morgan Stanley Trust Account
Jackson,20026545,JT,O'Reilly Automotive,ORLY,P,12/16/2024,01/09/2025,"$15,001 - $50,000",New,Subholding of: Morgan Stanley Trust Account
Jackson,20026545,JT,Meta Platforms,META,P,12/09/2024,01/09/2025,"$1,001 - $15,000",New,Subholding of: Morgan Stanley Trust Account
Jackson,20026545,JT,TIM S.A. American Depositary,NaN,S,12/09/2024,01/09/2025,"$15,001 - $50,000",New,Subholding of: Morgan Stanley Trust Account
Kelly,20026550,SP,Mississippi St Ref GO P/R 10/1/27,NaN,P,12/27/2024,01/09/2025,"$15,001 - $50,000",New,Subholding of: Victoria Kelly Trust ICA
Kelly,20026550,SP,California St Go Call 12/1/27 4% due S,NaN,S (partial),12/02/2024,12/11/2024,"$1,001 - $15,000",New,Subholding of: Victoria Kelly Trust ICA
Landsman,20026551,JT,"BlackRock, Inc. Common Stock ",BLK,P,12/19/2024,01/09/2025,"$1,001 - $15,000",New,Subholding of: Rockefeller Capital Management (1)
Landsman,20026551,JT,United Airlines Holdings,UAL,S,12/19/2024,01/09/2025,"$1,001 - $15,000",New,Subholding of: Rockefeller Capital Management (1)
Lee,20026513,SP,Warner Bros. Discovery,WBD,S (partial),11/29/2024,01/05/2025,"$1,001 - $15,000",New,
Lee,20026513,SP,"TuHURA Biosciences, Inc. ",NaN,P,11/25/2024,01/05/2025,"$1,001 - $15,000",New,
Pelosi,20026590,SP,Apple Inc.,AAPL,S (partial),12/31/2024,12/31/2024,"$5,000,001 - $25,000,000",New,"Sold 31,600 shares."
Pelosi,20026590,SP,NVIDIA Corporation ,NVDA,S (partial),12/31/2024,12/31/2024,"$1,000,001 - $5,000,000",New,"Sold 10,000 shares."
Pelosi,20026590,SP,NVIDIA Corporation ,NVDA,P,12/20/2024,12/20/2024,"$500,001 - $1,000,000",New,"Exercised 500 call options purchased 11/22/23 (50,000 shares) at a strike price of $12 with an expiration date"
Pelosi,20026590,SP,Palo Alto Networks,PANW,P,12/20/2024,12/20/2024,"$1,000,001 - $5,000,000",New,"Exercised 140 call options purchased 2/12/24 & 2/21/24 (14,000 shares) at a strike price of $100 with an"
Pelosi,20026590,SP,Alphabet Inc. (Class A),GOOGL,P,01/14/2025,01/14/2025,"$250,001 - $500,000",New,Purchased 50 call options with a strike price of $150 and an expiration date of 1/16/26.
Pelosi,20026590,SP,"Amazon.com, Inc.",AMZN,P,01/14/2025,01/14/2025,"$250,001 - $500,000",New,Purchased 50 call options with a strike price of $150 and an expiration date of 1/16/26.
Pelosi,20026590,SP,NVIDIA Corporation ,NVDA,P,01/14/2025,01/14/2025,"$250,001 - $500,000",New,Purchased 50 call options with a strike price of $80 and an expiration date of 1/16/26.
Pelosi,20026590,SP,"Tempus AI, Inc. ",NaN,P,01/14/2025,01/14/2025,"$50,001 - $100,000",New,Purchased 50 call options with a strike price of $20 and an expiration date of 1/16/26.
Pelosi,20026590,SP,Vistra Corp.,VST,P,01/14/2025,01/14/2025,"$500,001 - $1,000,000",New,Purchased 50 call options with a strike price of $50 and an expiration date of 1/16/26.
Peters,20026577,SP,U.S Treasury Bills,NaN,P,12/30/2024,12/31/2024,"$500,001 - $1,000,000",New,
