Member,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Blum,20007916,JT,"Tintri, Inc. ",NaN,P,08/4/2017,08/7/2017,"$50,001 - $100,000",New,
Brooks,20008596,JT,"alpha Pro Tech, ltd. ",NaN,P,11/20/2017,11/20/2017,"$1,001 - $15,000",New,
Brooks,20008301,JT,"alpha Pro Tech, ltd. ",NaN,P,10/13/2017,10/13/2017,"$1,001 - $15,000",New,
Brooks,20008301,JT,"alpha Pro Tech, ltd. ",NaN,P,08/24/2017,08/27/2017,"$1,001 - $15,000",New,
Brooks,20007835,JT,"alpha Pro Tech, ltd. ",NaN,P,07/20/2017,07/20/2017,"$1,001 - $15,000",New,
Brooks,20007636,JT,"alpha Pro Tech, ltd. ",NaN,P,06/29/2017,06/29/2017,"$1,001 - $15,000",New,
Brooks,20007640,SP,"onspira Therapeutics, Inc.",NaN,P,06/15/2017,06/15/2017,"$15,001 - $50,000",New,
Brooks,20007410,JT,"alpha Pro Tech, ltd. ",NaN,P,06/1/2017,06/1/2017,"$1,001 - $15,000",New,
Brooks,20007279,JT,"alpha Pro Tech, ltd. ",NaN,P,05/12/2017,05/12/2017,"$1,001 - $15,000",New,
Brooks,20007073,SP,"Velicept Therapeutics, Inc.",NaN,P,04/8/2017,04/4/2017,"$1,001 - $15,000",New,
Brooks,20006992,JT,"Becton, Dickinson and Company ",BDX,s,03/21/2017,03/21/2017,"$1,001 - $15,000",New,
Brooks,20006992,JT,Exxon Mobil Corporation ,NaN,s,03/21/2017,03/21/2017,"$1,001 - $15,000",New,
Brooks,20006992,JT,Procter & Gamble,PG,s,03/21/2017,03/21/2017,"$1,001 - $15,000",New,
Brooks,20006992,JT,union Pacific Corporation ,NaN,s,03/21/2017,03/21/2017,"$1,001 - $15,000",New,
Brooks,20006992,JT,oracle Corporation ,NaN,s,03/15/2017,03/15/2017,"$1,001 - $15,000",New,
Brooks,20006768,JT,Forney TX indpt sch Dist Ref OY 6.40,NaN,P,02/9/2017,02/9/2017,"$1,001 - $15,000",New,
Brooks,20006641,JT,"lee Enterprises, Incorporated ",NaN,P,01/27/2017,01/27/2017,"$1,001 - $15,000",New,
Castor,20006751,JT,Boeing,BA,s,02/14/2017,02/14/2017,"$15,001 - $50,000",New,
Castor,20006751,JT,Intel,INTC,P,02/14/2017,02/14/2017,"$1,001 - $15,000",New,
Castor,20006751,JT,Intel,INTC,s,02/14/2017,02/14/2017,"$1,001 - $15,000",New,
Castor,20006751,JT,Merck & Co.,MRK,s,02/14/2017,02/14/2017,"$1,001 - $15,000",New,
Chu,20008543,SPDR,gLD NoV 17 122.5 PUT,NaN,S,11/2/2017,11/2/2017,"$1,001 - $15,000",New,PUT
Chu,20008543,SPDR,gLD NoV 3 123 PUT,NaN,P,11/2/2017,11/2/2017,"$1,001 - $15,000",New,
Chu,20007444,SPDR,goLD SHS gLD MaY 12 117.5,NaN,P,05/9/2017,05/9/2017,"$1,001 - $15,000",New,PUT
Chu,20007444,SPDR,goLD SHS gLD MaY 26 117 PUT,NaN,S,05/9/2017,05/9/2017,"$1,001 - $15,000",New,
Chu,20007035,SPDR,goLD SHS MaR 10 117 PUT,NaN,P,03/3/2017,03/3/2017,"$1,001 - $15,000",New,PUT
Chu,20007035,SPDR,goLD TR SHS MaR 24 118 CaLL,NaN,P,03/21/2017,03/21/2017,"$1,001 - $15,000",New,
Clark,20008419,SP,Amgen,AMGN,S,10/5/2017,11/17/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20008419,SP,Amgen,AMGN,S,10/5/2017,11/17/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20008419,SP,Southern Company,SO,P,10/5/2017,11/17/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20008419,SP,Southern Company,SO,P,10/5/2017,11/17/2017,"$1,001 - $15,000",New,
Clark,20007336,SP,Amgen,AMGN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,Amgen,AMGN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Apple Inc.,AAPL,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Apple Inc.,AAPL,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,"blackRock, Inc. ",NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,"blackRock, Inc. ",NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Check Point Software Technologies ltd.,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Check Point Software Technologies ltd.,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,China Mobile limited ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,China Mobile limited ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Coca-Cola Company (The),KO,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,Coca-Cola Company (The),KO,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,d/b/A Chubb limited New ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRAID Owner Asset Transaction Date Notification Amount
Clark,20007336,SP,d/b/A Chubb limited New ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,discover Financial Services ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,discover Financial Services ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,"dominion Energy, Inc. ",NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,"dominion Energy, Inc. ",NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,general Electric Company ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,general Electric Company ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,glaxoSmithKline PlC ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRAID Owner Asset Transaction Date Notification Amount
Clark,20007336,SP,glaxoSmithKline PlC ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Home Depot (The),HD,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Home Depot (The),HD,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,JP Morgan Chase & Co. ,JPM,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,JP Morgan Chase & Co. ,JPM,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,"Metlife, Inc. ",MET,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,"Metlife, Inc. ",MET,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,Microsoft,MSFT,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,Microsoft,MSFT,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,"Nike, Inc.",NKE,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,"Nike, Inc.",NKE,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,Novo Nordisk A/S ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,Novo Nordisk A/S ,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Oracle Corporation,ORCL,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRAID Owner Asset Transaction Date Notification Amount
Clark,20007336,SP,Oracle Corporation,ORCL,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,Pioneer Natural Resources Company,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,Pioneer Natural Resources Company,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Starbucks,SBUX,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRAID Owner Asset Transaction Date Notification Amount
Clark,20007336,SP,Starbucks,SBUX,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,unitedHealth group Incorporated,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,unitedHealth group Incorporated,NaN,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Visa Inc.,V,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Visa Inc.,V,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,Waste Management,WM,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,Waste Management,WM,P,10/11/2016,04/26/2017,"$1,001 - $15,000",New,
Clark,20007829,SP,Centene Corporation,CNC,P,07/3/2017,08/14/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007829,SP,Centene Corporation,CNC,P,07/3/2017,08/14/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007829,SP,discover Financial Services ,NaN,S,07/3/2017,08/14/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007829,SP,discover Financial Services ,NaN,S,07/3/2017,08/14/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007829,SP,Invesco,IVZ,P,07/3/2017,08/14/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007829,SP,Invesco,IVZ,P,07/3/2017,08/14/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007829,SP,"Nike, Inc.",NKE,S,07/3/2017,08/14/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRAID Owner Asset Transaction Date Notification Amount
Clark,20007829,SP,"Nike, Inc.",NKE,S,07/3/2017,08/14/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007829,SP,Schlumberger,SLB,S,07/3/2017,08/14/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007829,SP,Sony Corporation ,NaN,P,07/3/2017,08/14/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007829,SP,Starbucks,SBUX,S,07/3/2017,08/14/2017,"$1,001 - $15,000",New,
Clark,20007336,SP,"blackRock, Inc. ",NaN,S,04/4/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRAID Owner Asset Transaction Date Notification Amount
Clark,20007336,SP,"blackRock, Inc. ",NaN,S,04/4/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Clorox,CLX,P,04/4/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Clorox,CLX,P,04/4/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,"Metlife, Inc. ",MET,S,04/4/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,"Metlife, Inc. ",MET,S,04/4/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRAID Owner Asset Transaction Date Notification Amount
Clark,20007336,SP,Microsoft,MSFT,S,04/4/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Microsoft,MSFT,S,04/4/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,Ritchie bros. Auctioneers Incorporated,NaN,P,04/4/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,Ritchie bros. Auctioneers Incorporated,NaN,P,04/4/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Sealed Air Corporation ,NaN,P,04/4/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Sealed Air Corporation ,NaN,P,04/4/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,discover Financial Services ,NaN,S,01/5/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,"dominion Energy, Inc. ",NaN,S,01/5/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,general Electric Company ,NaN,S,01/5/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Honeywell,HON,P,01/5/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Honeywell,HON,P,01/5/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,Novo Nordisk A/S ,NaN,S,01/5/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Clark,20007336,SP,Novo Nordisk A/S ,NaN,S,01/5/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Schlumberger,SLB,P,01/5/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise SEP IRA
Clark,20007336,SP,Schlumberger,SLB,P,01/5/2017,05/22/2017,"$1,001 - $15,000",New,Subholding of: Ameriprise Traditional IRA
Conaway,20007393,SP,R2000 CLIRN ISSUER CIbC CaP,NaN,S,05/8/2017,05/11/2017,"$50,001 - $100,000",New,Subholding of: SP M40 (Merrill Lynch)
Conaway,20007468,SP,"Clayton Williams Energy, Inc. ",NaN,E,05/3/2017,05/23/2017,"$50,001 - $100,000",New,Exchange CWEI for NBL
Conaway,20007468,JT,"Clayton Williams Energy, Inc. ",NaN,E,05/3/2017,05/23/2017,"$50,001 - $100,000",New,Exchange to NBL
Conaway,20007468,JT,Noble Energy Inc. ,NaN,E,05/3/2017,05/23/2017,"$50,001 - $100,000",New,Exchange from CWEI
Conaway,20007468,SP,Noble Energy Inc. ,NaN,E,05/3/2017,05/23/2017,"$50,001 - $100,000",New,Exchange CWEI to NBL
Conaway,20007393,SP,SX5E STEPUP ISSUER HSbC STEP,NaN,P,05/3/2017,05/8/2017,"$15,001 - $50,000",New,Subholding of: SP M37 (Merrill Lynch)
Conaway,20007393,SP,R2000 aRN ISSUER SEK CaP 14.37%,NaN,S,05/2/2017,05/5/2017,"$50,001 - $100,000",New,Subholding of: SP M40 (Merrill Lynch)
Conaway,20007393,SP,R2000 aRN ISSUER SEK CaP 14.37%,NaN,S,05/2/2017,05/5/2017,"$1,001 - $15,000",New,Subholding of: SP M40 (Merrill Lynch)
Conaway,20007393,SP,deere & Company ,NaN,S,05/15/2017,05/18/2017,"$1,001 - $15,000",New,Subholding of: SP E62 (Edward Jones)
Conaway,20007393,SP,Trimble Inc.,TRMB,S,05/15/2017,05/18/2017,"$1,001 - $15,000",New,Subholding of: SP E62 (Edward Jones)
Conaway,20007393,SP,R2000 CLIRNS ISSUER CIbC CaP,NaN,S,05/12/2017,05/17/2017,"$15,001 - $50,000",New,Subholding of: SP M40 (Merrill Lynch)
Conaway,20006839,SP,R2000 CLIRNS ISSUER CIBC CaP,NaN,P,02/6/2017,02/9/2017,"$15,001 - $50,000",New,"R2000 CLIRNS ISSUER CIBC CaP 20.40% SV 1,075.699 DUE 03/28/18"
Conaway,20006839,JT,INNaTE IMMUNoTHERaPEUTIC aUD,NaN,P,02/3/2017,02/8/2017,"$1,001 - $15,000",New,INNaTE IMMUNoTHERaPEUTIC aUD PaR oRDINaRY
Conaway,20006839,SP,R2000 CLIRNS ISSUER CIBC CaP,NaN,P,02/17/2017,02/23/2017,"$50,001 - $100,000",New,"R2000 CLIRNS ISSUER CIBC CaP 20.40% SV 1,075.699 DUE 03/28/18"
Conaway,20007393,SP,,NaN,M37,(Merrill,Lynch),(owner:,,
Conaway,20006839,JT,,NaN,M39,(Merrill,Lynch),(owner:,,
Conaway,20007393,SP,,NaN,E62,(Edward,Jones),(owner:,,
Connolly,20006554,JT,Dominion Energy,D,P,12/21/2016,01/11/2017,"$1,001 - $15,000",New,
Connolly,20008349,JT,Dominion Energy,D,P,09/20/2017,10/3/2017,"$1,001 - $15,000",New,
Connolly,20007572,JT,Dominion Energy,D,P,06/21/2017,07/5/2017,"$1,001 - $15,000",New,
Connolly,20007081,JT,Dominion Energy,D,P,03/22/2017,04/4/2017,"$1,001 - $15,000",New,
Curbelo,20008330,SP,accenture plc Class a ordinary Shares,NaN,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,adobe Systems Incorporated ,NaN,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,american Tower Corporation ,NaN,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,"ameriprise Financial, Inc. ",NaN,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,"BlackRock, Inc. ",BLK,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,Colgate-Palmolive,CL,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,Comcast,CMCSA,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage accountID Owner Asset Transaction Date Notification Amount
Curbelo,20008330,SP,CSX Corporation,CSX,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,CVS Health,CVS,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,danaher Corporation ,NaN,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,Ecolab,ECL,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,Home Depot (The),HD,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,Honeywell,HON,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,Intercontinental Exchange,ICE,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,Invesco,IVZ,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,iShares Core S&P Mid,NaN,P,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,iShares Core S&P Small,NaN,P,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,iShares Russell 1000 growth ETF ,NaN,P,10/10/2017,10/10/2017,"$15,001 - $50,000",New,Subholding of: UBS Brokerage accountID Owner Asset Transaction Date Notification Amount
Curbelo,20008330,SP,Lowe's,LOW,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,Medtronic,MDT,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,"o'Reilly automotive, Inc. ",NaN,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,"Red Hat, Inc. ",NaN,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,Rockwell Automation,ROK,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,Rockwell Automation,ROK,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,SPdR dow Jones Industrial average,NaN,P,10/10/2017,10/10/2017,"$15,001 - $50,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,Thermo Fisher Scientific,TMO,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
Curbelo,20008330,SP,Tix Corporation ,NaN,S,10/10/2017,10/10/2017,"$1,001 - $15,000",New,Subholding of: UBS Brokerage account
