Member,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Ashford,20004420,JT,"Mondelez International, Inc.",MDLZ,12/28/2015,12/28/2015,"$1,001",-,New,Subholding of: Brad and Ann Ashford Joint Account
Ashford,20006391,JT,Apache Corporation,APA,11/28/2016,12/13/2016,"$1,001",-,New,Joint Stock Account with adult daughter Eleanor Ashford
Ashford,20006308,SP,Medtronic plc. Ordinary Shares,MDT,11/28/2016,11/28/2016,"$1,001",-,New,"Sold 100 shares of Medtronic at $74.445 per share for a total of $7,434.34."
Ashford,20006308,SP,"Pfizer, Inc.",PFE,11/28/2016,11/28/2016,"$1,001",-,New,Sold 100 shares of Pfizer at $31.58 per share for a total of $3147.94.
Ashford,20005414,JT,Bank Of Ireland The governor & Co of,BAC,05/27/2016,05/27/2016,"$1,001",-,New,Subholding of: Brad and Ann Ashford Joint Account
Ashford,20004894,SP,3M Company,MMM,03/29/2016,03/29/2016,"$15,001",-,New,Subholding of: Ann Ashford Stock Account
Ashford,20004894,SP,Apache Corporation,APA,03/29/2016,03/29/2016,"$15,001",-,New,Subholding of: Ann Ashford Stock Account
Ashford,20004894,JT,Apache Corporation,APA,03/28/2016,03/28/2016,"$1,001",-,New,Joint Stock Account with adult daughter Eleanor Ashford
Ashford,20004485,SP,Apache Corporation,APA,01/15/2016,01/15/2016,"$1,001",-,New,Subholding of: Ann Ashford Stock Account
Ashford,20004485,SP,Berkshire Hathaway Inc. New,BRK.B,01/15/2016,01/15/2016,"$15,001",-,New,Subholding of: Ann Ashford Stock Account
Barletta,20005220,SP,"AXA International Managed Volatility E 03/7/2016 03/7/2016 $1,001",,asset,transaction,Date,notification,New,Annuity Auto Rebalance
Barletta,20004487,JT,Vanguard Financials ETF,,asset,transaction,Date,notification,New,Subholding of: American Enterprise 7802
Barletta,20004906,SP,Alerian MLP ETF,AMLP,12/9/2015,12/9/2015,"$1,001",-,New,Subholding of: Ameriprise Financial IRA 3851
Barletta,20004906,JT,Vanguard Financials ETF,,12/4/2015,12/4/2015,"$1,001",-,New,Subholding of: Ameriprise Financial 7802
Barletta,20004906,JT,Vanguard High dividend Yield ETF,,12/28/2015,12/28/2015,"$15,001",-,New,Subholding of: Ameriprise Financial 7802
Barletta,20004906,SP,Vanguard High dividend Yield ETF,,12/18/2015,12/18/2015,"$1,001",-,New,Subholding of: Ameriprise Financial IRA 3851
Barletta,20004906,JT,iShares Morningstar Multi,SCd,10/29/2015,10/29/2015,"$15,001",-,New,Subholding of: Ameriprise Financial IRA 3851
Barletta,20004906,JT,Vanguard Mega Cap growth ETF,MgK,09/11/2015,09/11/2015,"$1,001",-,New,Subholding of: Ameriprise Financial 7802
Barletta,20004906,SP,SPdR dow Jones Industrial Average,,09/1/2015,09/1/2015,"$1,001",-,New,Subholding of: Ameriprise Financial IRA 5494iD owner asset transaction Date notification amount
Barletta,20004906,SP,LMP Capital and Income Fund Inc.,SCd,08/5/2015,08/5/2015,"$1,001",-,New,Subholding of: Ameriprise Financial IRA 5494
Barletta,20005897,JT,sPDR Dow Jones Industrial Average,,08/30/2016,08/30/2016,"$15,001",-,New,New Joint Account held at LPL Financial
Barletta,20004906,JT,Oppenheimer Large Cap Revenue ETF,RWL,06/3/2015,06/3/2015,"$1,001",-,New,Subholding of: Ameriprise Financial 9039
Barletta,20004906,JT,SPdR S&P dividend ETF,SdY,04/23/2015,04/23/2015,"$15,001",-,New,Subholding of: Ameriprise Financial 9039
