Member,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Barletta,20001787,JT,Apple Inc.,AAPL,S,10/1/2014,10/1/2014,"$15,001 - $50,000",New,"Mr. Lou Barletta , 10/3/2014"
Barletta,20000998,JT,"Dunkin' Brands group, Inc. ",NaN,s,05/22/2014,05/22/2014,"$1,001 - $15,000",New,
Brooks,20001428,SP,"aLEXaR THERaPEUTICS, INC.",NaN,P,11/25/2013,07/19/2014,"$1,001 - $15,000",New,INVESTMENT PURCHaSE
Brooks,20001977,JT,Digirad Corporation ,NaN,P,10/20/2014,10/20/2014,"$1,001 - $15,000",New,"Mr. Mo Brooks , 10/30/2014"
Brooks,20001769,JT,Tenn Valley authority Bond,NaN,P,09/8/2014,09/8/2014,"$15,001 - $50,000",New,"Mr. Mo Brooks , 09/26/2014"
Brooks,20000606,JT,Decatur ala City Brd Ed spl Tax sch Wts,NaN,P,07/3/2014,07/3/2014,"$15,001 - $50,000",New,
Brooks,20001428,SP,"aLEXaR THERaPEUTICS, INC.",NaN,P,06/18/2014,07/19/2014,"$1,001 - $15,000",New,INVESTMENT PURCHaSE
Brooks,20000606,JT,Pike Road al OID,NaN,P,06/18/2014,06/18/2014,"$1,001 - $15,000",New,"Mr. Mo Brooks , 07/9/2014"
Brooks,20000606,JT,Morgan Stanley,MS,s,05/5/2014,05/5/2014,"$1,001 - $15,000",New,
Brooks,20000780,SP,aRLINgToN WaREhoUSE,NaN,S,04/17/2014,04/23/2014,"$1,001 - $15,000",New,"Mrs. Susan W. Brooks , 04/28/2014"
Brooks,20000606,JT,Mobile County ala Brd sch Commrscap,NaN,P,04/16/2014,04/16/2014,"$1,001 - $15,000",New,
Brooks,20000606,JT,Etowah Cnty ala Brd Ed Cap Outlay Wts,NaN,P,04/11/2014,04/11/2014,"$1,001 - $15,000",New,
Brooks,20000606,JT,Phenix City al sch WTs gENl OBlIg,NaN,P,03/28/2014,03/28/2014,"$15,001 - $50,000",New,
Connolly,20001925,JT,Dominion Energy,D,P,09/24/2014,09/24/2014,"$1,001 - $15,000",New,"Mr. Gerald E. Connolly , 10/20/2014"
Connolly,20001352,JT,Dominion Energy,D,P,06/25/2014,07/18/2014,"$1,001 - $15,000",New,"Mr. Gerald E. Connolly , 07/18/2014"
Connolly,20000790,JT,Dominion Energy,D,P,03/26/2014,04/2/2014,"$1,001 - $15,000",New,"Mr. Gerald E. Connolly , 04/29/2014"
DelBene,20002136,JT,Monsanto Company 1.15% Due,NaN,S,12/5/2014,12/5/2014,"$100,001 - $250,000",New,
DelBene,20002136,JT,aIg 5.85% Due 01/16/18,NaN,P,11/7/2014,11/7/2014,"$250,001 - $500,000",New,
DelBene,20002136,JT,Monsanto Company 1.15% Due,NaN,P,11/7/2014,11/7/2014,"$100,001 - $250,000",New,
DelBene,20002136,JT,Fl State B/E lottery 5% Due 07/01/17,NaN,S,11/6/2014,11/6/2014,"$500,001 - $1,000,000",New,
DelBene,20002136,JT,"Solazyme, Inc. ",NaN,S,11/6/2014,11/6/2014,"$1,001 - $15,000",New,
