first_name,last_name,full_name,prefix,source_doc_id,source_line
Richard,Allen,Richard Allen,Hon.,20026537,"{'Member': 'Allen', 'Prefix': 'Hon.', 'FirstName': 'Richard W.', 'LastName': 'Allen', 'DocID': '20026537', 'Owner': 'SP', 'Asset': 'Rollins, Inc. Common Stock', 'Ticker': 'ROL', 'Transaction Type': 'P', 'Transaction Date': '12/12/2024', 'Notification Date': '01/08/2025', 'Amount': '$15,001 -', 'Filing Status': 'New', 'Description': 'Subholding of: R.W. Allen & Associates, Inc. > RWA&A - Securities'}"
Jake,Auchincloss,Jake Auchincloss,Hon.,20027810,"{'Member': 'Auchincloss', 'Prefix': 'Hon.', 'FirstName': 'Jake', 'LastName': 'Auchincloss', 'DocID': '20027810', 'Owner': 'SP', 'Asset': 'State Street Corporation Common', 'Ticker': 'STT', 'Transaction Type': 'S', 'Transaction Date': '02/18/2025', 'Notification Date': '02/19/2025', 'Amount': '$15,001 -', 'Filing Status': 'New', 'Description': 'RSU distribution'}"
Donald,Beyer,Donald Beyer,Hon.,20026517,"{'Member': 'Beyer', 'Prefix': 'Hon.', 'FirstName': 'Donald Sternoff', 'LastName': 'Beyer', 'DocID': '20026517', 'Owner': 'JT', 'Asset': 'Duke Street LLC, 50% Interest', 'Ticker': 'OI', 'Transaction Type': 'S', 'Transaction Date': '12/23/2024', 'Notification Date': '12/26/2024', 'Amount': '50%', 'Filing Status': 'New', 'Description': 'sale of 2712 Duke Street, Alexandria, Virginia'}"
Rob,Bresnahan,Rob Bresnahan,Hon.,20030635,"{'Member': 'Bresnahan', 'Prefix': 'Hon.', 'FirstName': 'Rob', 'LastName': 'Bresnahan', 'DocID': '20030635', 'Owner': 'JT', 'Asset': 'Zoom Communications, Inc. - Class A', 'Ticker': '', 'Transaction Type': 'S', 'Transaction Date': '06/25/2025', 'Notification Date': '06/30/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Subholding of: JP Morgan Brokerage Account #2'}"
Earl,Carter,Earl Carter,Hon.,20030632,"{'Member': 'Carter', 'Prefix': 'Hon.', 'FirstName': 'Earl Leroy', 'LastName': 'Carter', 'DocID': '20030632', 'Owner': 'JT', 'Asset': 'US Treasury Bill', 'Ticker': 'GS', 'Transaction Type': 'S', 'Transaction Date': '06/17/2025', 'Notification Date': '07/07/2025', 'Amount': '$1,000,001 -', 'Filing Status': 'New', 'Description': 'Subholding of: Stifel'}"
Gilbert,Cisneros,Gilbert Cisneros,Hon.,20030461,"{'Member': 'Cisneros', 'Prefix': 'Hon.', 'FirstName': 'Gilbert', 'LastName': 'Cisneros', 'DocID': '20030461', 'Owner': 'JT', 'Asset': 'Boeing Company', 'Ticker': 'BA', 'Transaction Type': 'P', 'Transaction Date': '05/30/2025', 'Notification Date': '06/04/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Subholding of: 150 Main Street Trust > Bank of America'}"
Steve,Cohen,Steve Cohen,Hon.,20026548,"{'Member': 'Cohen', 'Prefix': 'Hon.', 'FirstName': 'Steve', 'LastName': 'Cohen', 'DocID': '20026548', 'Owner': 'JT', 'Asset': 'Emergent BioSolutions Inc. Common', 'Ticker': 'EBS', 'Transaction Type': 'S', 'Transaction Date': '12/11/2024', 'Notification Date': '12/11/2024', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': 'Subholding of: Stephens SEP IRA'}"
Michael,Collins,Michael Collins,Hon.,20026489,"{'Member': 'Collins', 'Prefix': 'Hon.', 'FirstName': 'Michael A.', 'LastName': 'Collins', 'DocID': '20026489', 'Owner': 'JT', 'Asset': 'Ski Mask Dog', 'Ticker': 'CT', 'Transaction Type': 'P', 'Transaction Date': '12/03/2024', 'Notification Date': '12/03/2024', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': ''}"
James,Comer,James Comer,Hon.,20018054,"{'Member': 'Comer', 'Prefix': 'Hon.', 'FirstName': 'James', 'LastName': 'Comer', 'DocID': '20018054', 'Owner': 'JT', 'Asset': 'Southwest Airlines Company', 'Ticker': 'LUV', 'Transaction Type': 'S', 'Transaction Date': '12/31/2024', 'Notification Date': '01/31/2025', 'Amount': '$1,001 - $15,000', 'Filing Status': 'New', 'Description': ''}"
Gerald,Connolly,Gerald Connolly,Hon.,20026724,"{'Member': 'Connolly', 'Prefix': 'Hon.', 'FirstName': 'Gerald E.', 'LastName': 'Connolly', 'DocID': '20026724', 'Owner': 'JT', 'Asset': 'Dominion Energy, Inc. Common', 'Ticker': 'D', 'Transaction Type': 'S', 'Transaction Date': '(partial)', 'Notification Date': '02/05/2025', 'Amount': '02/05/2025', 'Filing Status': 'New', 'Description': 'Subholding of: TIAA Joint'}"
