Member,Prefix,FirstName,LastName,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Aderholt,Hon.,Robert B.,Aderholt,20022132,DC,"Tesla, Inc.",TSLA,12/05/2022,12/05/2022,"$1,001",-,New,
Allen,Hon.,Richard W.,Allen,20020448,SP,Putnam ultra Short Duration,,01/25/2022,01/28/2022,"$50,001",-,New,Subholding of: Charles Schwab IRA
Allen,Hon.,Richard W.,Allen,20020448,SP,Starbucks Corporation,SBUX,01/25/2022,01/28/2022,"$15,001",-,New,Subholding of: Charles Schwab IRA
Allen,Hon.,Richard W.,Allen,20020585,SP,"Activision blizzard, Inc  P",ATVI,02/14/2022,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Charles Schwab IRA
Allen,Hon.,Richard W.,Allen,20020448,SP,Walt Disney Company   S,DIS,01/28/2022,"$1,001",-,"$1,001 - $15,000",New,Subholding of: Charles Schwab IRA
Axne,Hon.,Cindy,Axne,20022042,SP,"Amazon.com, Inc.",CHD,11/23/2022,11/24/2022,"$1,001",-,New,Subholding of: Cindy Axne IRA
Axne,Hon.,Cindy,Axne,20022042,SP,Danaher Corporation,DHR,11/23/2022,11/24/2022,"$1,001",-,New,Subholding of: Creation Agents LLC 401K
Axne,Hon.,Cindy,Axne,20021951,SP,"PayPal Holdings, Inc.",PYPL,11/09/2022,11/10/2022,"$1,001",-,New,Subholding of: Creation Agents LLC 401K
Axne,Hon.,Cindy,Axne,20021951,SP,"PayPal Holdings, Inc.",PYPL,11/09/2022,11/10/2022,"$1,001",-,New,Subholding of: John Axne IRA
Axne,Hon.,Cindy,Axne,20021951,SP,Lockheed Martin Corporation,LMT,11/03/2022,11/04/2022,"$1,001",-,New,Subholding of: Cindy Axne IRA
Axne,Hon.,Cindy,Axne,20021705,SP,Liberty Broadband Corporation,,09/08/2022,09/09/2022,"$1,001",-,New,Subholding of: John Axne IRA
Axne,Hon.,Cindy,Axne,20021705,SP,Liberty Broadband Corporation,,09/08/2022,09/09/2022,"$1,001",-,New,Subholding of: Creation Agents LLC 401K
Axne,Hon.,Cindy,Axne,20021555,SP,Liberty Broadband Corporation,,08/12/2022,08/13/2022,"$1,001",-,New,Subholding of: Creation Agents LLC 401K
Axne,Hon.,Cindy,Axne,20021236,SP,"BellRing Brands, Inc.",BRBR,06/15/2022,06/16/2022,"$1,001",-,New,Subholding of: Creation Agents LLC 401K
Axne,Hon.,Cindy,Axne,20021134,SP,KKR & Company Inc. 6% MCONV,KKR,05/25/2022,05/26/2022,"$1,001",-,New,Preferred stock - Maturity date 09/15/2023
Axne,Hon.,Cindy,Axne,20021134,SP,KKR & Company Inc. 6% MCONV,KKR,05/25/2022,05/26/2022,"$1,001",-,New,Preferred stock - Maturity date 09/15/2023
Axne,Hon.,Cindy,Axne,20021134,SP,JP Morgan Chase & Co.,JPM,05/12/2022,05/13/2022,"$1,001",-,New,Subholding of: Creation Agents LLC 401K
Axne,Hon.,Cindy,Axne,20021134,SP,JP Morgan Chase & Co.,JPM,05/12/2022,05/13/2022,"$1,001",-,New,Subholding of: John Axne IRA
Axne,Hon.,Cindy,Axne,20021134,SP,Danaher Corporation,DHR,05/10/2022,05/11/2022,"$1,001",-,New,Subholding of: John Axne IRA
Axne,Hon.,Cindy,Axne,20021134,SP,Danaher Corporation,DHR,05/10/2022,05/11/2022,"$1,001",-,New,Subholding of: Cindy Axne IRA
Axne,Hon.,Cindy,Axne,20021134,SP,Johnson & Johnson,JNJ,05/04/2022,05/05/2022,"$1,001",-,New,Subholding of: John Axne IRA
