Member,Prefix,FirstName,LastName,DocID,Owner,Asset,Ticker,Transaction Type,Transaction Date,Notification Date,Amount,Filing Status,Description
Amash,Hon.,Justin,Amash,20010646,DC,"Amazon.com, Inc",AMZN,P,11/01/2018,11/01/2018,"$15,001 - gfedc",New,Subholding of: Charles Schwab Investment Account - DC1
Amash,Hon.,Justin,Amash,20010646,DC,"Amazon.com, Inc",AMZN,P,11/01/2018,11/01/2018,"$15,001 - gfedc",New,Subholding of: Charles Schwab Investment Account - DC2
Amash,Hon.,Justin,Amash,20010646,DC,"Amazon.com, Inc",AMZN,P,11/01/2018,11/01/2018,"$15,001 - gfedc",New,Subholding of: Charles Schwab Investment Account - DC3
Amash,Hon.,Justin,Amash,20010646,DC,"Sonos, Inc",SoNo,P,11/01/2018,11/01/2018,"$1,001 - $15,000 gfedc",New,Subholding of: Charles Schwab Investment Account - DC1
Amash,Hon.,Justin,Amash,20010021,DC,Apple Inc,AAPL,P,08/01/2018,08/01/2018,"$1,001 - $15,000 gfedc",New,Subholding of: Charles Schwab Investment Account - DC2
Amash,Hon.,Justin,Amash,20010021,DC,Nintendo Co Ltd ADR,NTDoY,P,08/01/2018,08/01/2018,"$1,001 - $15,000 gfedc",New,Subholding of: Charles Schwab Investment Account - DC3
Amash,Hon.,Justin,Amash,20010021,DC,Walt Disney Company,DIS,P,08/01/2018,08/01/2018,"$15,001 - gfedc",New,Subholding of: Charles Schwab Investment Account - DC3
Amash,Hon.,Justin,Amash,20010021,DC,Walt Disney Company,DIS,P,08/01/2018,08/01/2018,"$15,001 - gfedc",New,Subholding of: Charles Schwab Investment Account - DC1
Amash,Hon.,Justin,Amash,20010021,DC,Walt Disney Company,DIS,P,08/01/2018,08/01/2018,"$15,001 - gfedc",New,Subholding of: Charles Schwab Investment Account - DC2
Blum,Hon.,Rodney Leland,Blum,20010478,JT,Enbridge Inc,ENB,P,09/18/2018,09/18/2018,"$100,001 - gfedc",New,
Blum,Hon.,Rodney Leland,Blum,20010478,JT,Ford Motor Company,F,P,09/18/2018,09/18/2018,"$50,001 - gfedc",New,
Blum,Hon.,Rodney Leland,Blum,20008963,JT,"Tintri, Inc",TNTR,S,02/2/2018,02/2/2018,"$50,001 - $100,000",New,Subholding of: RodandKarenBlumIRA
Blumenauer,Hon.,Earl,Blumenauer,20010620,sP,,,S,s&P,500,Index,New,Partial sale of index fund
Blumenauer,Hon.,Earl,Blumenauer,20008676,SP,general Electric Company,GE,P,12/26/2017,01/3/2018,"$1,001 - $15,000",New,
Blumenauer,Hon.,Earl,Blumenauer,20008676,SP,Newell Brands Inc,NWl,P,12/21/2017,01/3/2018,"$1,001 - $15,000",New,
Blumenauer,Hon.,Earl,Blumenauer,20008676,JT,Campbell Court-Nob Hill - Real Estate,,S,12/1/2017,12/1/2017,"$100,001 - $250,000",New,sale of interest in Campbell Court-Nob Hill NW 23rd and Hoyt
Blumenauer,Hon.,Earl,Blumenauer,20010770,SP,Northwest Natural gas,GS,P,11/15/2018,12/03/2018,"$1,001 - $15,000 gfedc",New,Dividend reinvestment
Blumenauer,Hon.,Earl,Blumenauer,20010777,SP,Morgan stanley 4%25 Due,MS,P,11/13/2018,12/05/2018,4%,New,Purchase
Blumenauer,Hon.,Earl,Blumenauer,20010620,SP,apple Inc,AAPL,P,11/02/2018,11/06/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20010620,SP,Bunge limited Bunge limited,BG,P,11/02/2018,11/06/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20010620,SP,Molson Coors Brewing Company,TAP,P,11/02/2018,11/06/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20010620,SP,Newmont Mining Corporation,NEM,P,11/02/2018,11/06/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20010620,SP,Interntnl Busin 8.375%19 Due,,P,11/01/2018,11/06/2018,8.375%,New,Bond Interest
Blumenauer,Hon.,Earl,Blumenauer,20010620,SP,Flex ltd. - ordinary shares,FlEX,P,10/26/2018,11/06/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20010620,SP,International Paper Company,IP,P,10/05/2018,11/06/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20010365,SP,oracle Corp 2.8%21 Due 07/08/21,ORCL,P,09/20/2018,09/27/2018,2.8%,New,Buy
Blumenauer,Hon.,Earl,Blumenauer,20010365,SP,Deere John Capi 3.125%21 Due,DE,P,09/17/2018,09/27/2018,3.125%,New,Buy
Blumenauer,Hon.,Earl,Blumenauer,20010365,SP,us Treasur NT 2.25%02/20usT,,P,08/31/2018,09/27/2018,2.25%,New,Bond Interest
Blumenauer,Hon.,Earl,Blumenauer,20010133,SP,Northwest Natural gas Company,NWN,P,08/15/2018,08/17/2018,"$1,001 - $15,000 gfedc",New,Dividend reinvestment
Blumenauer,Hon.,Earl,Blumenauer,20010109,SP,applied Materials 4.3%21 Due,AMAT,P,07/19/2018,08/15/2018,4.3%,New,Purchase of applied Materials.
Blumenauer,Hon.,Earl,Blumenauer,20010109,SP,"Coherent, Inc",COHR,P,07/19/2018,08/15/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20010109,SP,allergan plc Ordinary shares,agN,P,07/17/2018,08/15/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20010109,SP,amdocs limited - Ordinary shares,DOX,P,07/17/2018,08/15/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20010109,SP,BorgWarner Inc,BWa,P,07/17/2018,08/15/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20010109,SP,CBs Corporation Class B,CBs,P,07/17/2018,08/15/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20010109,SP,"Citigroup, Inc",C,P,07/17/2018,08/15/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20010109,SP,loews Corporation,L,P,07/17/2018,08/15/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20010109,SP,TE Connectivity ltd. New,TEl,P,07/17/2018,08/15/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20010109,SP,Vodafone group Plc - american,VOD,P,07/17/2018,08/15/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20009879,SP,Molson Coors Brewing Company,TAP,P,07/09/2018,07/12/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20009879,SP,Dun & Bradstreet Corporation,DNB,S,07/06/2018,07/12/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20009879,SP,general Electric Company,GE,S,07/05/2018,07/12/2018,"$1,001 - $15,000 gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20009879,SP,Caterpillar Inc 3.9%21 Due,CAT,P,06/26/2018,07/12/2018,3.9%,New,Purchase of Caterpillar
Blumenauer,Hon.,Earl,Blumenauer,20009802,SP,IBM Corp 8.375%19DuE11/01/19,IBM,P,06/19/2018,06/26/2018,8.375%,New,Purchase of IBM Corp 8.375%
Blumenauer,Hon.,Earl,Blumenauer,20009879,SP,Time Warner Inc. New,TWX,E,06/15/2018,06/26/2018,"$1,001 - $15,000 gfedc",New,Cash/Stock Merger with AT & T Inc. effective 6/15/2018 to reflect purchase of Time Warner by AT & T Inc.
Blumenauer,Hon.,Earl,Blumenauer,20009802,SP,McKesson Corporation,MCK,P,06/14/2018,06/26/2018,"$1,001 - gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20009802,SP,Merck & Co Inc DI 2.4%22,MRK,P,06/06/2018,06/26/2018,2.4%,New,Purchase of Merck & Co Inc
Blumenauer,Hon.,Earl,Blumenauer,20009802,SP,Powershares Fundame H,Va,S,06/01/2018,06/26/2018,"$50,001 - gfedc",New,sale of Powershares
Blumenauer,Hon.,Earl,Blumenauer,20009802,SP,"HCP, Inc",HCP,P,05/25/2018,06/26/2018,"$1,001 - gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20009802,SP,Johnson & Johnson,JNJ,P,05/25/2018,06/26/2018,"$1,001 - gfedc",New,
Blumenauer,Hon.,Earl,Blumenauer,20009802,SP,Procter & gamble Company,PG,P,05/25/2018,06/26/2018,"$1,001 - gfedc",New,
